index,lensName,survey,zl,zs,theta_E,theta_eff,theta_ap,sigma_ap,sigma_ap_err,gamma_E2022LD,gamma_E2022LD_err,gamma_E2022OL,gamma_E2022OL_err_up,gamma_E2022OL_err_low
0,b'MG2016+112',b' LSD',1.004,3.263,1.56,0.31,0.65,304.0,27.0,1e+20,1e+20,1e+20,1e+20,1e+20
1,b'0047-281',b' LSD',0.485,3.595,1.34,0.82,0.41,219.0,12.0,1e+20,1e+20,1e+20,1e+20,1e+20
2,b'CFRS03.1077',b' LSD',0.938,2.941,1.24,1.6,0.46,256.0,19.0,1e+20,1e+20,1e+20,1e+20,1e+20
3,b'HST14176+5226',b' LSD',0.81,3.399,1.41,1.06,0.37,212.0,18.0,1e+20,1e+20,1e+20,1e+20,1e+20
4,b'HSTT15433+5352',b' LSD',0.497,2.092,0.36,0.41,0.35,108.0,14.0,1e+20,1e+20,1e+20,1e+20,1e+20
5,b'SL2SJ0205-9302',b' SL2S',0.557,1.33,0.76,0.75,0.69,276.0,37.0,1e+20,1e+20,1e+20,1e+20,1e+20
6,b'SL2SJ0212-0555',b' SL2S',0.75,2.74,1.27,1.22,0.69,273.0,22.0,1e+20,1e+20,1e+20,1e+20,1e+20
7,b'SL2SJ0213-0743',b' SL2S',0.717,3.48,2.39,1.97,0.75,293.0,34.0,1e+20,1e+20,1e+20,1e+20,1e+20
8,b'SL2SJ0214-0405',b' SL2S',0.609,1.88,1.41,1.21,0.79,287.0,47.0,1e+20,1e+20,1e+20,1e+20,1e+20
9,b'SL2SJ0217-0513',b' SL2S',0.646,1.85,1.27,0.73,0.92,239.0,27.0,1e+20,1e+20,1e+20,1e+20,1e+20
10,b'SL2SJ0218-0802',b' SL2S',0.884,2.06,1.0,1.02,0.69,246.0,48.0,1e+20,1e+20,1e+20,1e+20,1e+20
11,b'SL2SJ0219-0829',b' SL2S',0.389,2.15,1.3,0.95,0.75,289.0,23.0,1e+20,1e+20,1e+20,1e+20,1e+20
12,b'SL2SJ0220-0949',b' SL2S',0.572,2.61,1.0,0.53,0.8,254.0,29.0,1e+20,1e+20,1e+20,1e+20,1e+20
13,b'SL2SJ0225-0454',b' SL2S',0.238,1.2,1.76,2.12,0.52,234.0,21.0,1e+20,1e+20,1e+20,1e+20,1e+20
14,b'SL2SJ0226-0420',b' SL2S',0.494,1.23,1.19,0.84,0.74,263.0,24.0,1e+20,1e+20,1e+20,1e+20,1e+20
15,b'SL2SJ0232-0408',b' SL2S',0.352,2.34,1.04,1.14,0.75,281.0,26.0,1e+20,1e+20,1e+20,1e+20,1e+20
16,b'SL2SJ0848-0351',b' SL2S',0.682,1.55,0.85,0.45,0.69,197.0,21.0,1e+20,1e+20,1e+20,1e+20,1e+20
17,b'SL2SJ0849-0412',b' SL2S',0.722,1.54,1.1,0.46,0.69,320.0,24.0,1e+20,1e+20,1e+20,1e+20,1e+20
18,b'SL2SJ0849-0251',b' SL2S',0.274,2.09,1.16,1.34,0.69,276.0,35.0,1e+20,1e+20,1e+20,1e+20,1e+20
19,b'SL2SJ0855-0147',b' SL2S',0.365,3.39,1.03,0.69,0.62,222.0,25.0,1e+20,1e+20,1e+20,1e+20,1e+20
20,b'SL2SJ0904-0059',b' SL2S',0.611,2.36,1.4,2.0,0.69,183.0,21.0,1e+20,1e+20,1e+20,1e+20,1e+20
21,b'SL2SJ0959+0206',b' SL2S',0.552,3.35,0.74,0.46,0.69,188.0,22.0,1e+20,1e+20,1e+20,1e+20,1e+20
22,b'SL2SJ1359+5535',b' SL2S',0.783,2.77,1.14,1.13,0.74,228.0,29.0,1e+20,1e+20,1e+20,1e+20,1e+20
23,b'SL2SJ1404+5200',b' SL2S',0.456,1.59,2.55,2.03,0.74,342.0,20.0,1e+20,1e+20,1e+20,1e+20,1e+20
24,b'SL2SJ1405+5243',b' SL2S',0.526,3.01,1.51,0.83,0.74,284.0,21.0,1e+20,1e+20,1e+20,1e+20,1e+20
25,b'SL2SJ1406+5226',b' SL2S',0.716,1.47,0.94,0.8,0.74,253.0,19.0,1e+20,1e+20,1e+20,1e+20,1e+20
26,b'SL2SJ1411+5651',b' SL2S',0.322,1.42,0.93,0.85,0.74,214.0,23.0,1e+20,1e+20,1e+20,1e+20,1e+20
27,b'SL2SJ1420+5630',b' SL2S',0.483,3.12,1.4,1.62,0.74,228.0,19.0,1e+20,1e+20,1e+20,1e+20,1e+20
28,b'SL2SJ2203+0205',b' SL2S',0.4,2.15,1.95,0.99,0.74,213.0,21.0,1e+20,1e+20,1e+20,1e+20,1e+20
29,b'SL2SJ2205+0147',b' SL2S',0.476,2.53,1.66,0.66,0.69,317.0,30.0,1e+20,1e+20,1e+20,1e+20,1e+20
30,b'SL2SJ2221+0115',b' SL2S',0.325,2.35,1.4,1.12,0.79,222.0,23.0,1e+20,1e+20,1e+20,1e+20,1e+20
31,b'SDSSJ0008-0004',b' SLACS',0.44,1.192,1.16,1.71,1.5,193.0,36.0,1e+20,1e+20,2.08,0.08,-0.07
32,b'SDSSJ0029-0055',b' SLACS',0.227,0.931,0.96,2.16,1.5,229.0,18.0,1e+20,1e+20,2.32,0.13,-0.13
33,b'SDSSJ0037-0942',b' SLACS',0.195,0.632,1.53,2.19,1.5,279.0,10.0,1e+20,1e+20,1e+20,1e+20,1e+20
34,b'SDSSJ0044+0113',b' SLACS',0.12,0.197,0.79,2.61,1.5,266.0,13.0,1e+20,1e+20,1e+20,1e+20,1e+20
35,b'SDSSJ0109+1500',b' SLACS',0.294,0.525,0.69,1.38,1.5,251.0,19.0,1e+20,1e+20,1e+20,1e+20,1e+20
36,b'SDSSJ0157-0056',b' SLACS',0.513,0.924,0.79,1.06,1.5,295.0,47.0,1e+20,1e+20,2.23,0.08,-0.09
